transaction_id,transaction_id,transaction_date,transaction_date_clean,merchant_name,merchant_name_clean,raw_amount,currency,status,status_clean,risk_score,risk_score_clean,gateway_region,gateway_region_clean,user_id,payment_method,payment_method_clean,amount_usd,merchant_id,account_manager,merchant_category,default_region,high_value_flag,high_risk_flag
T001,T001,01-03-2026,03-01-2026,alpha mart,ALPHA MART,420000,INR,captured,CAPTURED,score:62,62,APAC,APAC,U001,UPI,UPI,4998,M001,Aisha Khan,Grocery,APAC,0,0
T002,T002,01-03-2026,03-01-2026,ALPHA MART,ALPHA MART,210000,INR,Captured,CAPTURED,55,0,,,U002,Card,CARD,2499,M001,Aisha Khan,Grocery,APAC,0,0
T003,T003,01-03-2026,03-01-2026,BETA STORES,BETA STORES,510000,INR,CAPTURED,CAPTURED,71,0,APAC,APAC,U003,NetBanking,NETBANKING,6069,M002,Rohan Mehta,Electronics,APAC,1,0
T004,T004,02-03-2026,03-02-2026,Beta  Stores,BETA STORES,160000,INR,failed e05 timeout,FAILED,68,0,apac,APAC,U004,Card,CARD,1904,M002,Rohan Mehta,Electronics,APAC,0,0
T005,T005,02-03-2026,03-02-2026,Alpha Mart,ALPHA MART,390000,INR,CAPTURED,CAPTURED,58,0,,,U001,UPI,UPI,4641,M001,Aisha Khan,Grocery,APAC,0,0
T006,T006,02-03-2026,03-02-2026,Beta  Stores,BETA STORES,275000,INR,Captured,CAPTURED,score:64,64,,,U005,Wallet,WALLET,3272.5,M002,Rohan Mehta,Electronics,APAC,0,0
T007,T007,02-03-2026,03-02-2026,Alpha  Mart,ALPHA MART,450000,INR,chargeback,CHARGEBACK,risk-83,83,APAC,APAC,U006,Card,CARD,5355,M001,Aisha Khan,Grocery,APAC,1,1
T008,T008,03-03-2026,03-03-2026,BETA STORES,BETA STORES,340000,INR,Captured,CAPTURED,59,0,,,U007,UPI,UPI,4046,M002,Rohan Mehta,Electronics,APAC,0,0
T009,T009,03-03-2026,03-03-2026,Alpha Mart,ALPHA MART,125000,INR,captured,CAPTURED,46,0,APAC,APAC,U002,Wallet,WALLET,1487.5,M001,Aisha Khan,Grocery,APAC,0,0
T010,T010,03-03-2026,03-03-2026,Beta Stores,BETA STORES,610000,INR,captured,CAPTURED,risk-77,77,,,U003,Card,CARD,7259,M002,Rohan Mehta,Electronics,APAC,0,1
T011,T011,03-03-2026,03-03-2026,Alpha  Mart,ALPHA MART,195000,INR,FAILED e05 TIMEOUT,FAILED,,0,,,U008,UPI,UPI,2320.5,M001,Aisha Khan,Grocery,APAC,0,0
T012,T012,04-03-2026,03-04-2026,Beta  Stores,BETA STORES,250000,INR,captured,CAPTURED,risk-61,61,APAC,APAC,U009,Card,CARD,2975,M002,Rohan Mehta,Electronics,APAC,0,0
T013,T013,04-03-2026,03-04-2026,alpha mart,ALPHA MART,310000,INR,captured,CAPTURED,score:54,54,APAC,APAC,U010,UPI,UPI,3689,M001,Aisha Khan,Grocery,APAC,0,0
T014,T014,04-03-2026,03-04-2026,Beta  Stores,BETA STORES,470000,INR,captured,CAPTURED,risk-73,73,APAC,APAC,U001,NetBanking,NETBANKING,5593,M002,Rohan Mehta,Electronics,APAC,1,1
